Tamanio,Promedio(ns)
10,0
20,1007
30,3964
40,4501
50,6825
60,7744
70,10033
80,16588
90,19559
100,19572
110,24564
120,26903
130,33083
140,36942
150,40035
160,47435
170,54923
180,58132
190,86917
200,67149
210,68209
220,79641
230,84868
240,89248
250,113706
260,106132
270,111423
280,124194
290,136233
300,135025
310,141051
320,173568
330,158339
340,173712
350,186343
360,193194
370,235547
380,213275
390,230904
400,235167
410,246689
420,277319
430,273986
440,268187
450,321528
460,302192
470,320054
480,321373
490,337390
500,351057
510,408107
520,466608
530,394345
540,414442
550,407350
560,423526
570,458013
580,477241
590,547264
600,547787
610,552415
620,545386
630,552756
640,548827
650,558752
660,590718
670,604902
680,626347
690,640370
700,678298
710,747898
720,688441
730,718181
740,718175
750,779609
760,770655
770,778470
780,813511
790,840247
800,830487
810,853040
820,905516
830,913431
840,992821
850,960924
860,977488
870,1021548
880,1050682
890,1039697
900,1117719
910,1137186
920,1139040
930,1274903
940,1199219
950,1207329
960,1311701
970,1283569
980,1280933
990,1346390
1000,1401852
